Brand,Model,Segment,Seats,Range(km),Efficiency(Wh/km),Weight(kg),0-100(sec),1-Stop Range(km),Battery(kWh),Fastcharge(kW),Towing(kg),Cargo Volume(L),Price/range(/km),Price($)
CUPRA,Born 170 kW - 59 kWh,C,5,360 km,164 Wh/km,1841 kg,6.7 sec,416 km,59.0 kWh,110 kW,0 kg,385 L,€107 /km,"€41,450"
Peugeot,e-308 58 kWh (MY26),C,5,345 km,161 Wh/km,1749 kg,9.3 sec,351 km,55.4 kWh,65 kW,0 kg,361 L,€103 /km,"€36,950"
Lucid,Air Dream Edition R,F,5,685 km,172 Wh/km,2435 kg,2.9 sec,788 km,118.0 kWh,185 kW,0 kg,910 L,€321 /km,"€218,000"
Porsche,Macan Turbo Electric (MY24-25),D,5,460 km,207 Wh/km,2480 kg,3.3 sec,544 km,95.0 kWh,200 kW,2000 kg,564 L,€250 /km,"€114,600"
Polestar,2 Long Range Dual Motor (MY26),D,5,455 km,174 Wh/km,2183 kg,4.5 sec,514 km,79.0 kWh,125 kW,1500 kg,448 L,€127 /km,"€56,990"
Alpine,A390 GT,D,5,470 km,189 Wh/km,2199 kg,4.8 sec,486 km,89.0 kWh,120 kW,1350 kg,532 L,€144 /km,"* €66,000"
Aiways,U5,C,5,315 km,190 Wh/km,1795 kg,7.5 sec,313 km,60.0 kWh,78 kW,unknown,496 L,€128 /km,"€39,563"
Porsche,Taycan Plus,F,5,575 km,169 Wh/km,2245 kg,4.8 sec,750 km,97.0 kWh,262 kW,0 kg,491 L,€188 /km,"€107,224"
CUPRA,Born VZ,C,5,465 km,170 Wh/km,1999 kg,5.6 sec,517 km,79.0 kWh,135 kW,0 kg,385 L,€111 /km,"€52,870"
Kia,e-Niro 64 kWh,C,5,375 km,171 Wh/km,1812 kg,7.8 sec,349 km,64.0 kWh,64 kW,0 kg,451 L,€106 /km,"€39,090"
Opel,Astra Sports Tourer Electric,C,5,310 km,164 Wh/km,1760 kg,9.3 sec,334 km,50.8 kWh,85 kW,0 kg,516 L,€133 /km,"€43,490"
Tesla,Model S 70D,F,5,350 km,190 Wh/km,2156 kg,5.4 sec,369 km,66.5 kWh,95 kW,unknown,895 L,€240 /km,"€83,500"
Volkswagen,ID.7 Tourer GTX (MY24-25),E,5,500 km,172 Wh/km,2339 kg,5.5 sec,570 km,86.0 kWh,145 kW,1200 kg,605 L,€138 /km,"€63,955"
Polestar,3 Long Range Performance (MY23-25),E,5,480 km,223 Wh/km,2654 kg,4.7 sec,516 km,107.0 kWh,150 kW,2200 kg,516 L,€194 /km,"€92,190"
Mercedes-Benz,EQB 350 4MATIC,C,7,345 km,193 Wh/km,2165 kg,6.2 sec,357 km,66.5 kWh,100 kW,1700 kg,495 L,€187 /km,"€58,197"
Polestar,2 Standard Range Single Motor (MY26),D,5,405 km,165 Wh/km,2020 kg,6.4 sec,460 km,67.0 kWh,110 kW,1500 kg,448 L,€120 /km,"€48,990"
Skywell,BE11 Long Range,D,5,385 km,210 Wh/km,2005 kg,9.6 sec,336 km,81.0 kWh,50 kW,unknown,467 L,€119 /km,"£39,995"
VinFast,VF 6 Eco,D,5,315 km,189 Wh/km,2050 kg,10.3 sec,322 km,59.6 kWh,90 kW,0 kg,unknown,€113 /km,"€34,990"
Smart,EQ forfour,A,4,95 km,176 Wh/km,1200 kg,12.7 sec,66 km,16.7 kWh,0 kW,0 kg,185 L,€241 /km,"€19,120"
Audi,e-tron GT quattro,F,4,540 km,180 Wh/km,2355 kg,4.0 sec,712 km,97.0 kWh,281 kW,0 kg,482 L,€192 /km,"€108,900"
Smart,#3 Brabus,B,5,350 km,177 Wh/km,1985 kg,3.7 sec,372 km,62.0 kWh,100 kW,1600 kg,385 L,€145 /km,"€50,990"
Škoda,Elroq RS (MY25),C,5,450 km,176 Wh/km,2229 kg,5.4 sec,508 km,79.0 kWh,135 kW,1200 kg,470 L,€118 /km,"€53,050"
NIO,ET5 Standard Range,E,5,410 km,179 Wh/km,2215 kg,4.0 sec,447 km,73.5 kWh,110 kW,1400 kg,386 L,€149 /km,"€59,500"
CUPRA,Born 170 kW - 77 kWh,C,5,460 km,167 Wh/km,1969 kg,7.0 sec,512 km,77.0 kWh,125 kW,0 kg,385 L,€99 /km,"€47,250"
Opel,Grandland Electric 73 kWh,C,5,370 km,197 Wh/km,2207 kg,9.0 sec,388 km,73.0 kWh,90 kW,1200 kg,550 L,€120 /km,"€46,950"
Maserati,GranTurismo Folgore,F,4,420 km,198 Wh/km,2335 kg,2.7 sec,531 km,83.0 kWh,217 kW,unknown,270 L,€480 /km,"€198,212"
BYD,DOLPHIN 44.9 kWh Active (MY24),C,5,265 km,169 Wh/km,1650 kg,12.3 sec,251 km,44.9 kWh,50 kW,0 kg,345 L,€113 /km,"€29,990"
Tesla,Model S P90D,F,5,415 km,206 Wh/km,2262 kg,3.3 sec,408 km,85.5 kWh,90 kW,unknown,895 L,€292 /km,"€120,300"
Škoda,Enyaq 85x (MY25),C,5,450 km,171 Wh/km,2230 kg,6.7 sec,501 km,77.0 kWh,120 kW,1200 kg,585 L,€119 /km,"€51,150"
Kia,EV4 Hatchback 58.3 kWh,C,5,340 km,162 Wh/km,1805 kg,7.4 sec,364 km,55.0 kWh,80 kW,500 kg,435 L,€113 /km,"€37,590"
Hyundai,Kona Electric 64 kWh,B,5,390 km,164 Wh/km,1760 kg,7.6 sec,363 km,64.0 kWh,64 kW,0 kg,332 L,€101 /km,"€39,000"
Porsche,Taycan 4 Cross Turismo,F,5,420 km,199 Wh/km,2320 kg,5.1 sec,531 km,83.7 kWh,216 kW,0 kg,530 L,€238 /km,"€98,514"
Dacia,Spring Electric,A,4,160 km,156 Wh/km,1020 kg,19.1 sec,151 km,25.0 kWh,29 kW,0 kg,300 L,€120 /km,"€20,490"
Citroën,ë-C3 Aircross Comfort Range 44 kWh,B,5,240 km,183 Wh/km,1579 kg,12.9 sec,253 km,43.8 kWh,60 kW,350 kg,460 L,€110 /km,"€26,490"
Opel,Corsa Electric 50 kWh (MY25),B,5,290 km,160 Wh/km,1544 kg,8.7 sec,318 km,46.3 kWh,78 kW,0 kg,267 L,€102 /km,"€29,990"
Škoda,Enyaq 85x (MY26),C,5,455 km,169 Wh/km,2186 kg,6.7 sec,501 km,77.0 kWh,120 kW,1800 kg,585 L,€113 /km,"€51,500"
Audi,Q6 SUV e-tron performance,D,5,490 km,194 Wh/km,2275 kg,6.6 sec,570 km,94.9 kWh,190 kW,2000 kg,590 L,€145 /km,"€68,800"
Kia,EV6 Standard Range 2WD,C,5,345 km,174 Wh/km,1955 kg,8.7 sec,425 km,60.0 kWh,150 kW,750 kg,542 L,€131 /km,"€44,990"
NIO,ET7 Long Range,F,5,505 km,178 Wh/km,2454 kg,3.8 sec,509 km,90.0 kWh,100 kW,2000 kg,363 L,€183 /km,"€90,900"
Citroën,ë-C3 Urban Range 30 kWh,B,5,175 km,170 Wh/km,1413 kg,11.6 sec,156 km,29.8 kWh,30 kW,0 kg,310 L,€120 /km,"€20,990"
MG,MG5 EV,C,5,290 km,168 Wh/km,1607 kg,7.7 sec,290 km,48.8 kWh,60 kW,0 kg,464 L,€103 /km,"£26,095"
Volvo,XC40 Recharge Single Motor (MY24),C,5,340 km,194 Wh/km,2040 kg,7.3 sec,352 km,66.0 kWh,85 kW,1500 kg,441 L,€144 /km,"€47,500"
Volvo,EC40 Single Motor ER (MY25),C,5,420 km,188 Wh/km,2095 kg,7.3 sec,459 km,79.0 kWh,125 kW,1500 kg,435 L,€137 /km,"€57,190"
Škoda,Enyaq 60 (MY24),C,5,335 km,173 Wh/km,1992 kg,8.7 sec,361 km,58.0 kWh,82 kW,1000 kg,585 L,€133 /km,"€44,200"
Renault,Megane E-Tech EV60 130hp (TU2025),C,5,380 km,158 Wh/km,1725 kg,10.5 sec,410 km,60.0 kWh,87 kW,500 kg,440 L,€96 /km,"€36,490"
NIO,ET5 Touring Long Range,E,5,485 km,186 Wh/km,2285 kg,4.0 sec,527 km,90.0 kWh,135 kW,1400 kg,450 L,€146 /km,"€68,500"
Ford,Mustang Mach-E ER AWD (MY23.75),D,5,440 km,207 Wh/km,2257 kg,5.8 sec,447 km,91.0 kWh,115 kW,1500 kg,619 L,€158 /km,"€65,900"
Polestar,3 Long Range Single motor (MY23-25),E,5,530 km,202 Wh/km,2478 kg,7.8 sec,571 km,107.0 kWh,150 kW,1500 kg,516 L,€150 /km,"€78,590"
GWM,ORA 07 Pure,D,5,350 km,184 Wh/km,2065 kg,8.2 sec,339 km,64.3 kWh,75 kW,0 kg,333 L,€120 /km,"€41,990"
Renault,Zoe ZE40 R110,B,5,255 km,161 Wh/km,1502 kg,11.4 sec,232 km,41.0 kWh,40 kW,0 kg,338 L,€118 /km,"€29,990"
Lancia,Ypsilon (MY24),B,5,310 km,155 Wh/km,1561 kg,8.2 sec,334 km,48.1 kWh,80 kW,0 kg,309 L,€114 /km,"€35,400"
Tesla,Model X AWD (MY26),F,7,490 km,194 Wh/km,2423 kg,3.9 sec,544 km,95.0 kWh,140 kW,2250 kg,608 L,€237 /km,"€115,970"
Smart,ForTwo Electric Drive,A,2,100 km,167 Wh/km,1085 kg,11.5 sec,71 km,16.7 kWh,0 kW,0 kg,260 L,€215 /km,"€21,940"
Hyundai,IONIQ 5 Project 45 (MY21),C,5,365 km,192 Wh/km,2095 kg,5.2 sec,452 km,70.0 kWh,185 kW,1600 kg,555 L,€159 /km,"€59,550"
MG,Marvel R Performance,C,5,350 km,200 Wh/km,1995 kg,4.9 sec,335 km,70.0 kWh,82 kW,750 kg,357 L,€148 /km,"€50,990"
Mercedes-Benz,EQB 300 4MATIC,C,7,340 km,196 Wh/km,2175 kg,8.0 sec,350 km,66.5 kWh,100 kW,0 kg,495 L,€181 /km,"€55,519"
Audi,e-tron GT S,F,4,540 km,180 Wh/km,2385 kg,3.4 sec,712 km,97.0 kWh,281 kW,0 kg,482 L,€235 /km,"€126,000"
XPENG,G9 RWD Standard Range (MY24),E,5,395 km,192 Wh/km,2285 kg,6.4 sec,478 km,75.8 kWh,170 kW,1500 kg,731 L,€150 /km,"€59,600"
Citroën,ë-C4 54 kWh,C,5,325 km,156 Wh/km,1646 kg,9.1 sec,348 km,50.8 kWh,78 kW,0 kg,380 L,€109 /km,"€34,100"
Mercedes-Benz,EQV 300 Long,N,7,310 km,290 Wh/km,2635 kg,12.1 sec,285 km,90.0 kWh,96 kW,0 kg,1030 L,€276 /km,"€71,626"
Mercedes-Benz,EQB 250,C,7,385 km,173 Wh/km,2110 kg,8.9 sec,397 km,66.5 kWh,100 kW,0 kg,495 L,€146 /km,"€52,550"
Ford,Focus Electric,C,5,105 km,186 Wh/km,1700 kg,11.4 sec,75 km,19.6 kWh,0 kW,unknown,237 L,€358 /km,"€39,990"
Maserati,Grecale Folgore,E,5,400 km,238 Wh/km,2555 kg,4.1 sec,402 km,95.0 kWh,110 kW,1800 kg,535 L,€313 /km,"€124,301"
BMW,i3 94 Ah,B,4,165 km,165 Wh/km,1320 kg,7.3 sec,170 km,27.2 kWh,46 kW,unknown,260 L,€218 /km,"€36,800"
Volkswagen,ID.4 Pure (MY26),C,5,285 km,182 Wh/km,1975 kg,9.0 sec,318 km,52.0 kWh,87 kW,1000 kg,543 L,€142 /km,"€40,335"
MG,IM5 Performance,D,5,490 km,197 Wh/km,2298 kg,3.2 sec,621 km,96.5 kWh,250 kW,unknown,475 L,€114 /km,"£48,495"
Tesla,Model X Performance,F,7,430 km,221 Wh/km,2552 kg,2.9 sec,448 km,95.0 kWh,110 kW,2250 kg,unknown,€250 /km,"€102,990"
Renault,Zoe R110,B,5,250 km,164 Wh/km,1575 kg,11.4 sec,182 km,41.0 kWh,0 kW,0 kg,338 L,€132 /km,"€35,900"
Nissan,Ariya e-4ORCE 87kWh - 225 kW,C,5,405 km,215 Wh/km,2259 kg,5.7 sec,400 km,87.0 kWh,110 kW,1500 kg,415 L,€136 /km,"€57,490"
Polestar,2 Long Range Performance (MY24),D,5,450 km,176 Wh/km,2180 kg,4.2 sec,507 km,79.0 kWh,125 kW,1500 kg,446 L,€139 /km,"€58,775"
Volkswagen,ID.4 Pro 4MOTION (MY24-25),C,5,435 km,177 Wh/km,2233 kg,6.6 sec,477 km,77.0 kWh,120 kW,1200 kg,543 L,€116 /km,"€49,020"
Mercedes-Benz,EQA 250,C,5,395 km,168 Wh/km,2040 kg,8.6 sec,405 km,66.5 kWh,100 kW,750 kg,340 L,€137 /km,"€50,777"
Honda,e Advance,B,4,170 km,168 Wh/km,1595 kg,8.3 sec,169 km,28.5 kWh,32 kW,0 kg,171 L,€242 /km,"€39,900"
Volvo,ES90 Single Motor (MY26),F,5,485 km,181 Wh/km,2441 kg,6.6 sec,580 km,88.0 kWh,170 kW,1600 kg,468 L,€152 /km,"€71,990"
Volvo,EX40 Twin Motor (MY25),C,5,385 km,205 Wh/km,2170 kg,4.8 sec,419 km,79.0 kWh,125 kW,1800 kg,441 L,€164 /km,"€59,590"
KGM,Musso EV 2WD,N,5,365 km,222 Wh/km,2265 kg,9.2 sec,359 km,81.0 kWh,100 kW,1800 kg,907 L,€121 /km,"€43,990"
Peugeot,e-2008,B,5,260 km,178 Wh/km,1623 kg,8.5 sec,285 km,46.3 kWh,78 kW,0 kg,434 L,€143 /km,"€35,450"
Mercedes-Benz,EQB 350 4MATIC,C,7,340 km,196 Wh/km,2175 kg,6.2 sec,350 km,66.5 kWh,100 kW,0 kg,495 L,€188 /km,"€58,197"
Dacia,Spring Electric,A,4,160 km,156 Wh/km,1012 kg,19.1 sec,151 km,25.0 kWh,29 kW,0 kg,300 L,€123 /km,"€20,490"
Porsche,Taycan Turbo S,F,5,525 km,185 Wh/km,2370 kg,2.4 sec,674 km,97.0 kWh,262 kW,0 kg,450 L,€390 /km,"€209,900"
Mercedes-Benz,EQE 350+ (MY25),E,5,555 km,173 Wh/km,2415 kg,6.1 sec,597 km,96.0 kWh,141 kW,750 kg,430 L,€132 /km,"€71,412"
Tesla,Model X Plaid (MY26),F,6,475 km,200 Wh/km,2515 kg,2.9 sec,531 km,95.0 kWh,140 kW,2250 kg,608 L,€265 /km,"€125,970"
Renault,Zoe R90,B,5,255 km,161 Wh/km,1555 kg,13.5 sec,182 km,41.0 kWh,0 kW,0 kg,338 L,€122 /km,"€33,200"
Audi,e-tron Sportback 55 quattro,E,5,380 km,228 Wh/km,2565 kg,5.7 sec,399 km,86.5 kWh,146 kW,1800 kg,615 L,€209 /km,"€83,750"
Audi,e-tron GT RS,F,4,525 km,185 Wh/km,2395 kg,2.8 sec,693 km,97.0 kWh,281 kW,0 kg,427 L,€282 /km,"€147,500"
Audi,Q6 SUV e-tron,D,5,395 km,192 Wh/km,2200 kg,7.0 sec,459 km,75.8 kWh,150 kW,2000 kg,590 L,€167 /km,"€63,500"
Volvo,EX30 Cross Country (MY26),B,5,330 km,197 Wh/km,1960 kg,3.7 sec,367 km,65.0 kWh,114 kW,1600 kg,325 L,€166 /km,"€57,290"
Ford,Mustang Mach-E ER AWD (MY21),D,5,430 km,205 Wh/km,2257 kg,5.8 sec,401 km,88.0 kWh,86 kW,750 kg,619 L,€154 /km,"€63,700"
Mercedes-Benz,EQE 350 (MY23),E,5,515 km,173 Wh/km,2405 kg,6.4 sec,556 km,89.0 kWh,120 kW,750 kg,430 L,€157 /km,"€70,995"
Opel,Mokka Electric GSE,B,5,280 km,181 Wh/km,1672 kg,5.9 sec,294 km,50.8 kWh,85 kW,0 kg,310 L,€157 /km,"€47,300"
Renault,Zoe R240,B,5,145 km,161 Wh/km,1502 kg,13.5 sec,102 km,23.3 kWh,0 kW,unknown,338 L,€148 /km,"€21,500"
Volkswagen,ID.5 GTX (MY24-25),C,5,430 km,179 Wh/km,2242 kg,5.5 sec,477 km,77.0 kWh,120 kW,1200 kg,549 L,€141 /km,"€56,455"
Lotus,Emeya,F,5,520 km,190 Wh/km,2555 kg,4.2 sec,665 km,98.9 kWh,240 kW,2250 kg,543 L,€209 /km,"€106,400"
Lotus,Emeya 600,F,5,520 km,190 Wh/km,2555 kg,4.2 sec,665 km,98.9 kWh,240 kW,2250 kg,543 L,€204 /km,"€107,990"
MG,IM5 Standard Range,D,5,405 km,181 Wh/km,2180 kg,6.8 sec,451 km,73.5 kWh,120 kW,unknown,475 L,€112 /km,"£39,450"
Mercedes-Benz,EQS SUV 580 4MATIC,F,7,530 km,223 Wh/km,2845 kg,4.7 sec,543 km,118.0 kWh,160 kW,1800 kg,645 L,€303 /km,"€147,923"
Porsche,Macan 4S Electric (MY25),D,5,470 km,202 Wh/km,2420 kg,4.1 sec,563 km,95.0 kWh,200 kW,2000 kg,624 L,€196 /km,"€90,700"
Suzuki,e VITARA 61 kWh 4WD AllGrip,B,5,310 km,193 Wh/km,1935 kg,7.4 sec,286 km,59.8 kWh,60 kW,750 kg,238 L,€125 /km,"€36,995"
Škoda,CITIGOe iV,A,4,205 km,158 Wh/km,1235 kg,12.3 sec,188 km,32.3 kWh,30 kW,0 kg,250 L,€110 /km,"€24,534"
Škoda,Enyaq Coupe RS (MY26),C,5,470 km,168 Wh/km,2239 kg,5.4 sec,534 km,79.0 kWh,135 kW,1800 kg,570 L,€129 /km,"€60,850"
Peugeot,e-308 SW (MY23-25),C,5,300 km,169 Wh/km,1791 kg,10.0 sec,319 km,50.8 kWh,80 kW,0 kg,608 L,€140 /km,"€43,435"
Polestar,5 Performance,F,4,530 km,200 Wh/km,2465 kg,3.2 sec,637 km,106.0 kWh,210 kW,1800 kg,427 L,€256 /km,"€141,600"
Lightyear,0,F,5,550 km,109 Wh/km,1575 kg,10.0 sec,535 km,60.0 kWh,60 kW,0 kg,640 L,€548 /km,"€297,500"
Mercedes-Benz,EQE 300 (MY22-23),E,5,515 km,173 Wh/km,2385 kg,7.3 sec,556 km,89.0 kWh,120 kW,750 kg,430 L,€144 /km,"€66,402"
Dacia,Spring Electric 65 Extreme,A,4,160 km,156 Wh/km,1035 kg,13.7 sec,149 km,25.0 kWh,29 kW,0 kg,300 L,€150 /km,"€24,550"
Mercedes-Benz,EQE 350 4MATIC (MY23),E,5,510 km,175 Wh/km,2475 kg,6.3 sec,547 km,89.0 kWh,120 kW,750 kg,430 L,€157 /km,"€74,149"
Ford,Mustang Mach-E GT (MY24),D,5,425 km,214 Wh/km,2343 kg,3.8 sec,433 km,91.0 kWh,115 kW,750 kg,619 L,€175 /km,"€77,300"
Fiat,500e 3+1 42 kWh,B,4,235 km,159 Wh/km,1400 kg,9.0 sec,258 km,37.3 kWh,67 kW,0 kg,185 L,€152 /km,"€36,990"
Volkswagen,ID.7 GTX (MY24-25),E,5,500 km,172 Wh/km,2325 kg,5.4 sec,572 km,86.0 kWh,145 kW,1200 kg,532 L,€137 /km,"€63,155"
Smart,#5 Pro+ (MY25),D,5,465 km,202 Wh/km,2335 kg,6.5 sec,579 km,94.0 kWh,230 kW,1600 kg,702 L,€111 /km,"€50,900"
Kia,Soul EV,B,5,155 km,174 Wh/km,1565 kg,11.2 sec,162 km,27.0 kWh,40 kW,0 kg,281 L,€199 /km,"€28,890"
Audi,Q4 Sportback e-tron 40,C,5,425 km,180 Wh/km,2120 kg,8.5 sec,453 km,76.6 kWh,125 kW,1000 kg,535 L,€138 /km,"€53,900"
Opel,Corsa Electric 50 kWh (MY24),B,5,290 km,160 Wh/km,1544 kg,8.7 sec,318 km,46.3 kWh,78 kW,0 kg,267 L,€116 /km,"€34,650"
Audi,Q4 e-tron 35,C,5,285 km,182 Wh/km,1990 kg,9.0 sec,324 km,52.0 kWh,90 kW,1000 kg,520 L,€160 /km,"€45,600"
Peugeot,e-208 51 kWh (MY23),B,5,305 km,158 Wh/km,1530 kg,8.2 sec,331 km,48.1 kWh,80 kW,0 kg,265 L,€133 /km,"€41,850"
Lexus,RZ 300e (MY23-25),D,5,355 km,180 Wh/km,2030 kg,8.0 sec,391 km,64.0 kWh,100 kW,750 kg,522 L,€157 /km,"€55,590"
DS,Automobiles N°8 AWD Long Range,D,5,530 km,183 Wh/km,2364 kg,5.4 sec,552 km,97.2 kWh,130 kW,1400 kg,620 L,€139 /km,"€75,000"
Volkswagen,ID.3 Pro Performance,C,5,350 km,166 Wh/km,1805 kg,7.3 sec,375 km,58.0 kWh,82 kW,0 kg,385 L,€104 /km,"€36,495"
Volvo,XC40 Recharge Pure Electric (MY22),C,5,305 km,220 Wh/km,2030 kg,7.4 sec,325 km,67.0 kWh,116 kW,1500 kg,450 L,€164 /km,"€48,650"
TOGG,T10X Standard Range RWD,C,5,265 km,189 Wh/km,2024 kg,7.4 sec,327 km,50.0 kWh,70 kW,0 kg,441 L,€129 /km,"€34,295"
VinFast,VF 8 Eco Extended Range,D,5,405 km,217 Wh/km,2530 kg,5.9 sec,416 km,87.7 kWh,120 kW,1800 kg,376 L,€128 /km,"€52,990"
Nissan,Townstar EV Passenger,N,5,225 km,200 Wh/km,1872 kg,12.6 sec,221 km,45.0 kWh,50 kW,1500 kg,819 L,€178 /km,"€39,990"
Lotus,Emeya R,F,5,465 km,213 Wh/km,2650 kg,2.8 sec,586 km,98.9 kWh,240 kW,1225 kg,543 L,€328 /km,"€150,990"
Ford,Mustang Mach-E ER AWD (MY24),D,5,445 km,204 Wh/km,2245 kg,4.6 sec,447 km,91.0 kWh,115 kW,1500 kg,619 L,€148 /km,"€65,900"
Audi,S6 Avant e-tron,E,5,530 km,179 Wh/km,2410 kg,3.9 sec,638 km,94.9 kWh,200 kW,2100 kg,529 L,€199 /km,"€101,150"
Audi,A6 Sportback e-tron quattro,E,5,570 km,166 Wh/km,2360 kg,4.7 sec,694 km,94.9 kWh,200 kW,2100 kg,529 L,€144 /km,"€79,800"
Opel,Grandland Electric 73 kWh AWD,C,5,355 km,206 Wh/km,2325 kg,6.1 sec,372 km,73.0 kWh,90 kW,1350 kg,485 L,€141 /km,"€51,750"
Audi,e-tron 50 quattro,E,5,280 km,231 Wh/km,2445 kg,6.8 sec,299 km,64.7 kWh,114 kW,1800 kg,660 L,€251 /km,"€69,100"
Mercedes-Benz,EQA 300 4MATIC,C,5,350 km,190 Wh/km,2110 kg,7.7 sec,359 km,66.5 kWh,100 kW,1800 kg,340 L,€166 /km,"€53,520"
Audi,Q4 Sportback e-tron 45,C,5,435 km,177 Wh/km,2145 kg,6.7 sec,485 km,77.0 kWh,120 kW,1000 kg,535 L,€128 /km,"€54,950"
Abarth,600e Scorpionissima,B,5,280 km,181 Wh/km,1700 kg,5.9 sec,293 km,50.8 kWh,79 kW,0 kg,360 L,€172 /km,"€48,990"
Volkswagen,ID.5 Pro (MY26),C,5,455 km,169 Wh/km,2131 kg,6.7 sec,508 km,77.0 kWh,120 kW,1000 kg,549 L,€115 /km,"€51,270"
SsangYong,Korando e-Motion,C,5,290 km,193 Wh/km,1840 kg,8.5 sec,277 km,56.0 kWh,69 kW,1500 kg,551 L,€137 /km,"€42,490"
Volkswagen,ID.7 Tourer Pro (MY26),E,5,470 km,164 Wh/km,2191 kg,6.6 sec,535 km,77.0 kWh,125 kW,1000 kg,605 L,€117 /km,"€54,905"
XPENG,P7 AWD Performance,E,5,460 km,180 Wh/km,2215 kg,4.1 sec,521 km,82.7 kWh,138 kW,0 kg,440 L,€130 /km,"€58,600"
Porsche,Taycan 4S,F,5,490 km,168 Wh/km,2245 kg,3.7 sec,611 km,82.3 kWh,195 kW,0 kg,491 L,€244 /km,"€120,900"
Voyah,Courage 80 kWh AWD,D,5,390 km,198 Wh/km,2302 kg,4.9 sec,427 km,77.3 kWh,110 kW,1700 kg,527 L,€128 /km,"€49,990"
Volkswagen,ID.4 GTX (MY26),C,5,435 km,182 Wh/km,2248 kg,5.4 sec,485 km,79.0 kWh,135 kW,1800 kg,543 L,€129 /km,"€53,255"
Peugeot,e-308 SW 58 kWh (MY26),C,5,340 km,163 Wh/km,1783 kg,9.5 sec,347 km,55.4 kWh,65 kW,0 kg,505 L,€108 /km,"€38,250"
Mitsubishi,i-MiEV,A,4,85 km,171 Wh/km,1160 kg,15.9 sec,98 km,14.5 kWh,30 kW,0 kg,166 L,€310 /km,"€23,790"
Kia,EV6 Standard Range 2WD,C,5,305 km,177 Wh/km,1875 kg,8.5 sec,377 km,54.0 kWh,140 kW,750 kg,563 L,€148 /km,"€46,990"
Citroën,ë-C4 X 54 kWh,C,5,335 km,152 Wh/km,1652 kg,9.1 sec,358 km,50.8 kWh,78 kW,0 kg,510 L,€107 /km,"€34,800"
Mercedes-Benz,EQE 300 (MY25),E,5,525 km,170 Wh/km,2375 kg,6.9 sec,570 km,89.0 kWh,120 kW,750 kg,430 L,€128 /km,"€67,187"
Kia,e-Soul 64 kWh,B,5,370 km,173 Wh/km,1757 kg,7.9 sec,343 km,64.0 kWh,64 kW,0 kg,315 L,€122 /km,"€47,450"
NIO,EL7 Long Range,F,5,430 km,209 Wh/km,2441 kg,3.9 sec,421 km,90.0 kWh,100 kW,2000 kg,570 L,€224 /km,"€94,900"
e.GO,e.wave X,B,4,150 km,180 Wh/km,1280 kg,12.0 sec,106 km,27.0 kWh,0 kW,0 kg,116 L,€167 /km,"€24,990"
Renault,4 E-Tech 40kWh 120hp,B,5,245 km,163 Wh/km,1485 kg,9.2 sec,253 km,40.0 kWh,55 kW,750 kg,420 L,€116 /km,"€29,400"
Smart,#5 Summit Edition (MY25),D,5,450 km,209 Wh/km,2445 kg,4.9 sec,561 km,94.0 kWh,230 kW,1600 kg,677 L,€128 /km,"€56,900"
SEAT,Mii Electric,A,4,205 km,158 Wh/km,1235 kg,12.3 sec,188 km,32.3 kWh,30 kW,0 kg,251 L,€116 /km,"€24,650"
Ford,Mustang Mach-E SR RWD (MY21),D,5,365 km,186 Wh/km,2044 kg,6.9 sec,364 km,68.0 kWh,78 kW,750 kg,619 L,€134 /km,"€47,500"
Mercedes-Benz,EQS 450+,F,5,635 km,171 Wh/km,2515 kg,6.1 sec,702 km,108.4 kWh,173 kW,750 kg,620 L,€180 /km,"€109,551"
Ford,Explorer Extended Range RWD,C,5,450 km,176 Wh/km,2080 kg,8.5 sec,500 km,79.0 kWh,135 kW,1200 kg,536 L,€103 /km,"€48,500"
TOGG,T10X Long Range AWD,C,5,425 km,200 Wh/km,2208 kg,4.8 sec,450 km,85.0 kWh,115 kW,0 kg,441 L,€106 /km,"* €45,000"
TOGG,T10F Long Range AWD,D,5,465 km,183 Wh/km,2294 kg,4.1 sec,505 km,85.0 kWh,115 kW,0 kg,505 L,€97 /km,"* €45,000"
Smart,#1 Premium,B,5,335 km,185 Wh/km,1875 kg,6.7 sec,364 km,62.0 kWh,100 kW,1600 kg,338 L,€132 /km,"€44,990"
Mercedes-Benz,EQC 400 4MATIC,D,5,370 km,216 Wh/km,2495 kg,5.1 sec,366 km,80.0 kWh,100 kW,1800 kg,500 L,€201 /km,"€69,484"
Volkswagen,ID.3 Pro S,C,4,450 km,171 Wh/km,1934 kg,7.9 sec,488 km,77.0 kWh,115 kW,0 kg,385 L,€96 /km,"€41,995"
Ford,Mustang Mach-E ER AWD (MY23),D,5,440 km,207 Wh/km,2257 kg,5.8 sec,410 km,91.0 kWh,86 kW,1500 kg,619 L,€169 /km,"€77,200"
Porsche,Taycan 4S Plus,F,5,565 km,172 Wh/km,2325 kg,3.7 sec,737 km,97.0 kWh,262 kW,0 kg,491 L,€221 /km,"€126,422"
Mitsubishi,i-MiEV,A,4,85 km,171 Wh/km,1185 kg,15.9 sec,98 km,14.5 kWh,30 kW,0 kg,166 L,€342 /km,"€29,393"
Audi,Q4 Sportback e-tron 45 quattro,C,5,410 km,188 Wh/km,2235 kg,6.6 sec,453 km,77.0 kWh,120 kW,1200 kg,535 L,€142 /km,"€56,950"
